# Probe Set ID	Gene Symbol
16661063	ZNF593 
16661071	CNKSR1 
16661117	CEP85 
16661141	SH3BGRL3 
16984801	GZMA 
16661164	DHDDS 
16661192	HMGN2 
16661206	RPS6KA1 
16661253	MIR1976 
16661255	ARID1A 
16661298	ZDHHC18 
16661314	SFN 
16661323	NUDC 
16661342	TRNP1 
16661351	WDTC1 
16661377	TMEM222 
16661443	FAM76A 
16661459	STX12 
16661477	PPP1R8 
16661497	C1orf38 
16661527	XKR8 
16661533	ATPIF1 
16661544	SESN2 
16661567	PHACTR4 
16661589	RCC1 
16661617	TRNAU1AP 
16661646	RNU11 
16661648	GMEB1 
16661663	YTHDF2 
16661687	EPB41 
16661730	PTPRU 
16661817	ZCCHC17 
16661832	SERINC2 
16661862	TINAGL1 
16661917	KHDRBS1 
16661934	TMEM39B 
16661956	KPNA6 
16661978	TXLNA 
16662009	IQCC 
16662031	EIF3I 
16662047	FAM167B 
16662077	HDAC1 
16662123	ZBTB8A 
16662134	RBBP4 
16662159	KIAA1522 
16662171	S100PBP 
16662193	HPCA 
16662234	ZNF362 
16662255	ZSCAN20 
16662313	GJB5 
16662329	GJA4 
16662338	ZMYM1 
16662359	ZMYM4 
16662412	TFAP2E 
16662430	EIF2C4 
16662453	EIF2C1 
16662475	EIF2C3 
16662525	ADPRHL2 
16662537	MAP7D1 
16662566	THRAP3 
16662584	SH3D21 
16662623	ZC3H12A 
16662648	CDCA8 
16662685	INPP5B 
16662692	UTP11L 
16662737	AKIRIN1 
16662744	NDUFS5 
16662755	MACF1 
16662885	KIAA0754 
16662890	BMP8A 
16662900	LOC100506950 
16662908	PPIE 
16662945	MFSD2A 
16662968	CAP1 
16662993	RLF 
16663014	ZMPSTE24 
16663033	SMAP2 
16663064	ZNF642 
16663094	NFYC 
16663129	MIR30E 
16663131	MIR30C1 
16663133	KCNQ4 
16663155	CTPS1 
16663199	FOXO6 
16663218	GUCA2B 
16663231	PPCS 
16663294	PPIH 
16663317	YBX1 
16663332	C1orf50 
16663345	LOC100129924  
16663358	ERMAP 
16663390	SLC2A1-AS1 
16663398	FAM183A 
16663448	TMEM125 
16663457	TIE1 
16663514	CDC20 
16663537	SZT2 
16663621	PTPRF 
16663665	KDM4A 
16663743	IPO13 
16663792	ATP6V0B 
16663812	B4GALT2 
16663871	DMAP1 
16663899	RNF220 
16663989	SNORD38B  
16664003	SNORD46 
16664005	PLK3 
16664028	BTBD19 
16664048	UROD 
16664074	HPDL 
16664078	TOE1 
16664100	AKR1A1 
16664118	NASP 
16664150	TMEM69 
16664156	MAST2 
16664218	TSPAN1 
16664235	LURAP1 
16664272	UQCRHL  
16664281	NSUN4 
16664299	FAAH 
16664335	DMBX1 
16664445	CMPK1 
16664569	CDKN2C 
16664599	RNF11 
16664624	OSBPL9 
16664694	BTF3L4 
16664708	ZFYVE9 
16664731	PRPF38A 
16664748	GPX7 
16664765	ZYG11B 
16664782	ZYG11A 
16664802	SCP2 
16664828	PODN 
16664852	CPT2 
16664861	LOC100507564 
16664912	LRRC42 
16664932	TCEANC2 
16664947	MRPL37 
16665109	PCSK9 
16665182	PRKAA2 
16665266	FGGY 
16665302	HOOK1 
16665346	NFIA 
16665373	INADL 
16665439	L1TD1 
16665447	USP1 
16665461	ANGPTL3 
16665475	ATG4C 
16665512	ALG6 
16665536	EFCAB7 
16665558	DLEU2L 
16665566	PGM1 
16665588	ROR1 
16665621	CACHD1 
16665656	RAVER2 
16665674	AK4 
16665687	DNAJC6 
16665717	LEPR 
16665757	PDE4B 
16665853	MIER1 
16665932	GADD45A 
16666013	SRSF11 
16666204	TYW3 
16666239	ACADM 
16666268	RABGGTB 
16666326	ST6GALNAC3 
16666390	RN5S20 
16666392	FAM73A 
16666416	NEXN 
16666437	DNAJB4 
16666448	GIPC2 
16666471	PTGFR 
16675398	CFH 
17033604	HLA-DRA 
16666545	LPHN2 
16666616	PRKACB 
16666668	RPF1 
16666681	SPATA1 
16666738	CYR61 
16666835	SH3GLB1 
16666851	HS2ST1 
16666865	LOC339524 
16666881	LMO4 
16666896	PKN2 
16666959	GBP1P1 
16666965	LRRC8B 
16667000	LRRC8D 
16667011	ZNF326 
16667037	CDC7 
16667060	BRDT 
16667094	EPHX4 
16667119	KIAA1107 
16667140	RPAP2 
16667155	RPL5 
16667175	SNORA66 
16667183	MTF2 
16667206	CCDC18 
16667247	DR1 
16667258	FNBP1L 
16667277	LOC100129046 
16667303	ABCD3 
16667385	RWDD3 
16667456	PTBP2 
16667481	DPYD-AS1 
16667498	SNX7 
16971910	RXFP1 
16667546	AGL 
16667590	SLC35A3 
16667608	HIAT1 
16667625	TRMT13 
16667644	RTCA 
16667660	MIR553 
16667662	CDC14A 
16667702	VCAM1 
16667715	SLC30A7 
16667760	S1PR1 
16667801	RNPC3 
16667918	PRMT6 
16668002	FAM102B 
16668020	PRPF38B 
16668047	STXBP3 
16668074	SRG7 
16668079	GPSM2 
16668102	TMEM167B 
16668109	SCARNA2 
16668111	KIAA1324 
16668150	SARS 
16668170	CELSR2 
16668272	GNAI3 
16668288	AMPD2 
16668375	GSTM1 
16668397	GSTM5 
16668420	CSF1 
16668439	AHCYL1 
16668464	FAM40A 
16668513	UBL4B 
16668517	SLC6A17 
16668533	KCNC4 
16668550	RBM15 
16668564	PROK1 
17085951	RORB 
16668598	LOC100506293 
16668603	CEPT1 
16668622	CHI3L2 
16668677	C1orf88 
16668689	ATP5F1 
16668702	C1orf162 
16668712	RAP1A 
16668726	LOC100506343 
16668730	DDX20 
16668772	CTTNBP2NL 
16668785	WNT2B 
16668798	CAPZA1 
16668817	MOV10 
16668891	LRIG2 
16668919	MAGI3 
16668960	DCLRE1B 
16668969	HIPK1 
16668997	OLFML3 
16669067	VANGL1 
16669121	ATP1A1 
17031139	HLA-DRA 
16669180	PTGFRN 
16669212	TTF2 
16669255	MAN1A2 
16669278	FAM46C 
16669285	GDAP2 
16669288	WDR3 
16669374	HSD3B1 
16669389	PHGDH 
16669422	FAM72B 
16669437	HIST2H2BA 
16669443	HIST2H2BF 
16669501	LINC00328 
16669568	SRGAP2B 
16669573	NBPF9 
16669626	LOC100132999 
16669700	SEC22B 
16669708	NOTCH2NL 
16669721	NBPF10 
16669783	NOTCH2NL 
16669796	TXNIP 
16669830	RBM8A 
16669840	PEX11B 
16669930	RNF115 
16669963	GPR89C 
16669997	NBPF12 
16670079	PDIA3P 
16670081	CHD1L 
16670114	BCL9 
16670141	GPR89B 
16670185	LOC284561 
16670199	LOC100132057 
16670217	NBPF15 
16670250	NBPF16  
16670276	LOC645166 
16670309	FAM91A2 
16670332	FAM91A2 
16670367	FCGR1A 
16670377	HIST2H4B  
16670383	HIST2H2AA4  
16670387	HIST2H3D  
16670391	BOLA1 
16670401	HIST2H2AC 
16670404	VPS45 
16670469	C1orf54 
16670492	MRPS21 
16670499	PRPF3 
16670527	RPRD2 
16670574	ECM1 
16670599	ADAMTSL4 
16670632	SETDB1 
16670697	PRUNE 
16670728	C1orf56 
16670739	MLLT11 
16670743	GABPB2 
16670758	SCNM1 
16670774	PIP5K1A 
16670826	ZNF687 
16670847	LOC100505481 
16670850	PSMB4 
16670894	TUFT1 
16670918	MIR554 
16670920	SNX27 
16670959	OAZ3 
16671031	LCE3B 
16671049	LCE2A 
16671053	LCE4A 
16671061	KPRP 
16671139	S100A9 
16671154	S100A1 
16671166	CHTOP 
16671178	SNAPIN 
16671187	NPR1 
16671217	INTS3 
16671264	SLC27A3 
16671305	CREB3L4 
16671325	RPS27 
16671334	UBAP2L 
16671381	HAX1 
16671416	ATP8B2 
16671457	IL6R 
16671503	CKS1B 
16671516	FLAD1 
16671545	ZBTB7B 
16671579	ADAM15 
16671623	EFNA4 
16671642	EFNA1 
16671653	SLC50A1 
16671692	MIR92B 
16671694	LOC100653116  
16671707	MTX1 
16671738	FDPS 
16671759	RUSC1 
16671784	POU5F1P4 
16671786	ASH1L-AS1 
16671823	DAP3 
17095882	OMD 
16671884	RXFP4 
16671889	LAMTOR2 
16671901	RAB25 
16671914	LMNA 
16671960	SEMA4A 
16671992	SLC25A44 
16672027	TMEM79 
16672052	RHBG 
16672097	APOA1BP 
16672170	PRCC 
16672279	KIRREL 
16672298	KIRREL-IT1 
17007257	HLA-DRA 
16867784	C3 
16980849	FGG 
16672412	CADM3 
16672426	RN5S60 
16672428	DARC 
16672452	APCS 
16672457	DUSP23 
16672478	SLAMF8 
16672538	ATP1A4 
16672567	CASQ1 
16672583	PEA15 
16672596	SUMO1P3 
16672598	NCSTN 
16672722	NIT1 
16672738	UFC1 
16672754	USP21 
16672779	PPOX 
16672808	NDUFS2 
16778274	TRPC4 
16672864	PCP4L1 
16672872	SDHC 
16672893	FCGR2A 
16672914	HSPA6 
16672920	FCGR2B 
16672975	DUSP12 
16672988	ATF6 
16673043	UHMK1 
16673056	UAP1 
16761350	KLRC3 
16673126	RGS4 
16673154	NUF2 
16673191	PBX1 
16673229	PBX1 
16673251	MGST3 
16673268	LOC100505828  
16673278	UCK2 
16673315	POGK 
16673323	MAEL 
16673341	RN5S65 
16673359	POU2F1 
16673393	RCSD1 
16673410	MPZL1 
16673428	DCAF6 
16673466	TIPRL 
16673477	SFT2D2 
16673505	MIR557 
16673507	XCL1 
16673525	ATP1B1 
16673544	BLZF1 
16673557	C1orf112 
16673617	GORAB 
16673636	PRRX1 
16673748	FMO4 
16673767	PRRC2C 
16673822	METTL13 
16673877	MIR3120 
16673899	C1orf9 
16673945	PRDX6 
16673961	KLHL20 
16673983	DARS2 
16674005	GAS5-AS1 
16674008	ZBTB37 
16674025	RABGAP1L 
16674080	GPR52 
16674089	CACYBP 
16674130	KIAA0040 
16674151	PAPPA2 
16761370	KLRC1 
16674211	RASAL2 
16674269	TEX35 
16674271	TEX35 
16674292	RALGPS2 
16674319	FAM20B 
16674330	TOR3A 
16674355	SOAT1 
16674446	TOR1AIP2 
16674449	TOR1AIP1 
16674470	CEP350 
16674521	QSOX1 
16674557	XPR1 
16674604	MR1 
16674618	IER5 
16674689	RN5S70 
16674742	NPL 
16674767	DHX9 
16674805	LAMC1 
16674845	LAMC2 
16674880	SMG7 
16674924	LOC100292409 
16773681	C13orf33 
16674953	TSEN15 
16674973	C1orf21 
16674998	RNF2 
16675009	SWT1 
16675045	HMCN1 
16675174	C1orf27 
16675197	PLA2G4A 
17070110	PI15 
16675323	RGS2 
16675334	TROVE2 
16675354	CDC73 
17021510	CNR1 
16675533	C1orf53 
16675558	NEK7 
16977052	CXCL10 
16675660	FAM58BP 
16675673	CAMSAP2 
16675698	C1orf106 
16675794	NAV1 
16675842	MIR1231 
16675844	IPO9 
16675874	SHISA4 
16675889	TIMM17A 
16675903	RNPEP 
16675924	ELF3 
16675944	GPR37L1 
16676008	PPP1R12B 
16676055	KDM5B-AS1 
16676150	BTG2 
16833420	CCL4 
16676228	ZC3H11A 
16676258	ZBED6 
16676263	ZBED6 
16676265	SNRPE 
16676277	SOX13 
16676314	MDM4 
16676355	NFASC 
16676405	CNTN2 
16676461	CDK18 
16676498	MFSD4 
16676547	CTSE 
16676562	SRGAP2 
16676589	SRGAP2-IT1 
16676619	RASSF5 
16676643	MAPKAPK2 
16676720	C4BPB 
16676738	C4BPA 
16676764	CD55 
16676819	CR1 
16676893	CD46 
16676954	MIR205 
16676983	G0S2 
17021504	CNR1 
16677037	DIEXF 
16677071	SERTAD4 
16677104	RCOR3 
16677133	TRAF5 
16677153	LINC00467 
16677201	DTL 
16677228	PPP2R5A 
16677259	NENF 
16677278	ATF3 
16677304	TATDN3 
16677324	FLVCR1 
16677361	RPS6KC1 
16677407	SMYD2 
16677425	CENPF 
16677473	KCTD3 
16677547	RRP15 
16677556	TGFB2 
16677580	LYPLAL1 
16677616	IARS2 
16677655	MARK1 
16677678	C1orf115 
16677683	MARC2 
16677698	MARC1 
16677723	HLX 
16677748	MIA3 
16677789	BROX 
16677808	FAM177B 
16677823	DISP1 
16677863	CAPN2 
16677904	FBXO28 
16677913	DEGS1 
16677933	CNIH4 
16678105	SRP9 
16678114	EPHX1 
16678128	H3F3B  
16678159	C1orf95 
16678191	ADCK3 
16678247	ZNF678 
16678257	LOC100130093 
16678262	SNAP47 
16678295	WNT3A 
16678303	ARF1 
16678320	MIR3620 
16678322	GUK1 
16678349	GJC2 
16678496	HIST3H2BB 
16678501	RNF187 
16678516	RN5S19 
16678518	RHOU 
16678536	SPHAR  
16678561	URB2 
16678579	GALNT2 
16678611	COG2 
16678680	ARV1 
16678691	TRIM67 
16678710	GNPAT 
16678738	SPRTN 
16678752	TSNAX-DISC1 
16678867	KCNK1 
16678907	C1orf31 
16678966	TBCE 
16679003	GPR137B 
16679020	EDARADD 
16679033	LGALS8 
16679094	MTR 
16679142	RYR2 
16679349	KMO 
16679411	EXO1 
16679451	SDCCAG8 
16679480	MIR4677 
16679499	ZNF238 
16679546	DESI2 
16679557	COX20 
16679569	EFCAB2 
16679596	KIF26B 
16679627	CNST 
16679650	SCCPDH 
16679665	LOC149134 
16679742	TRIM58 
16679753	OR2W3 
16679764	OR2L8 
16679769	OR2L1P 
16679783	OR2L3 
16679787	OR2M5 
16679801	OR2T6 
16679808	OR2T3 
16679851	PGBD2 
16679860	WASH7P 
16679887	LOC729737 
16679952	LOC100288069 
16680017	C1orf170 
16680023	HES4 
16680034	RNF223 
16680038	C1orf159 
16680075	TNFRSF18 
16680098	SDF4 
16680113	FAM132A 
16680127	UBE2J2 
16680148	ACAP3 
16680184	CPSF3L 
16680236	DVL1 
16680258	MXRA8 
16680274	AURKAIP1 
16680284	CCNL2 
16680309	MRPL20 
16680323	ANKRD65 
16680348	SSU72 
16680420	SLC35E2B 
16680435	SLC35E2 
16680446	NADK 
16680478	GNB1 
16680575	C1orf86 
16680717	MMEL1 
16680752	TTC34 
16680842	WRAP73 
16680891	LRRC47 
16680901	CEP104 
16680935	C1orf174 
16680962	MIR4689 
16681082	ICMT 
16681095	GPR153 
16681103	ACOT7 
16681127	HES2 
16681142	TNFRSF25 
16681159	PLEKHG5 
16681192	NOL9 
16681210	KLHL21 
16681225	DNAJC11 
16681304	ERRFI1 
16681323	RERE 
16681370	ENO1 
16681437	GPR157 
16681477	CLSTN1 
16681501	CTNNBIP1 
16681511	LZIC 
16681531	DFFA 
16681611	SRM 
16681625	EXOSC10 
16681661	MTOR 
16681749	MAD2L2 
16681806	NPPB 
16681812	RNU5E-4P 
16681814	KIAA2013 
16681827	DHRS3 
16681862	PRAMEF10 
16681996	CASP9 
16682036	SLC25A34 
16682042	UQCRHL 
16682047	ZBTB17 
16682077	HSPB7 
16682148	RSG1 
16682161	FBXO42 
16682175	SPATA21 
16682225	NBPF1 
16682290	MST1P9 
16682329	LOC100506687 
16682333	MFAP2 
16682348	ATP13A2 
16682384	SDHB 
16682425	RCC2 
16682460	ALDH4A1 
16682485	MIR1290 
16682487	IFFO2 
16682499	UBR4 
16682631	EMC1 
16682689	LOC100506730 
16682691	AKR7A2 
16682704	CAPZB 
16682771	PLA2G2A 
16682829	CAMK2N1 
16682835	MUL1 
16682842	DDOST 
16682861	KIF17 
16682886	SH2D5 
16682904	HP1BP3 
16682930	EIF4G3 
16682989	ECE1 
16683061	USP48 
16683105	HSPG2 
16683221	WNT4 
16683250	LUZP1 
16683271	HNRNPR 
16683290	ZNF436 
16683300	TCEA3 
16683317	ASAP3 
16683377	ID3 
16683387	LOC100506963 
16683397	GALE 
16683423	HMGCL 
16683445	FUCA1 
16683470	SRSF10 
16683605	NIPAL3 
16683624	RUNX3 
16683644	SYF2 
16683655	C1orf63 
16683700	LOC100507013 
16683703	LOC646471 
16683712	C1orf135 
16683719	PAQR7 
16683723	STMN1 
16683739	PAFAH2 
16683758	SLC30A2 
16683817	AIM1L 
16683875	GPN2 
16683908	C1orf172 
16683920	FAM46B 
16683925	SLC9A1 
16684000	FCN3 
16684024	WASF2 
16684036	AHDC1 
16684056	FGR 
16684080	IFI6 
16684089	RPA2 
16684110	EYA3 
16684142	RNU7-29P 
16684144	PTAFR 
16684152	DNAJC8 
16684175	SNHG3 
16684178	SNHG12 
16684194	TAF12 
16684214	TMEM200B 
16684222	SRSF4 
16666485	IFI44L 
16684331	SDC3 
16684344	PUM1 
16684385	SNORD103A 
16684387	SNORD103A 
16684406	SNRNP40 
16684429	FABP3 
16684447	PEF1 
16684461	COL16A1 
16684579	MIR4254 
16684614	PTP4A2 
16684649	TMEM234 
16684686	MARCKSL1 
16684694	LOC100128071 
16684700	BSDC1 
16684723	ZBTB8OS 
16684744	SYNC 
16684760	YARS 
16684785	FNDC5 
16684800	TMEM54 
16684812	RNF19B 
16684826	AK2 
16684854	TRIM62 
16684870	PHC2 
16684997	C1orf212 
16705011	DKK1 
16685042	ZMYM6 
16685076	SFPQ 
16685096	ZMYM4-AS1 
16685099	KIAA0319L 
16685144	PSMB2 
16685165	CLSPN 
16685208	TRAPPC3 
16685222	FAM176B 
16685227	STK40 
16685246	LSM10 
16685255	OSCP1 
16685281	MRPS15 
16685295	CSF3R 
16685362	MEAF6 
16685374	SNIP1 
16685383	GNL2 
16685482	YRDC 
16685489	MTF1 
16685505	INPP5B 
16685544	SF3A3 
16685571	FHL3 
16685596	RRAGC 
16685609	GJA9-MYCBP 
16685669	PABPC4 
16685702	SNORA55 
16685704	HEYL 
16685748	TRIT1 
16685769	MYCL1 
16685779	PPT1 
16685804	COL9A2 
16685889	SCMH1 
16685953	GUCA2A 
16685958	FOXJ3 
16686000	CLDN19 
16686010	LEPRE1 
16686040	CCDC23 
16686060	SLC2A1 
16686088	EBNA1BP2 
16686122	ELOVL1 
16686140	MED8 
16686155	SZT2-AS1 
16686158	HYI 
16686201	SLC6A9 
16686233	ERI3 
16686260	TMEM53 
16686271	RNU5F-1  
16686293	TCTEX1D4 
16686324	EIF2B3 
16686345	HECTD3 
16686401	MUTYH 
16686438	TESK2 
16686472	PRDX1 
16686510	GPBP1L1 
16686536	RPS15AP10 
16686538	IPP 
16686557	PIK3R3 
16686574	POMGNT1 
16686611	LRRC41 
16686648	MKNK1 
16686695	ATPAF1 
16686716	KIAA0494 
16916605	CPXM1 
16686796	STIL 
16686839	TRABD2B 
16686865	SPATA6 
16686951	FAF1 
16687028	EPS15 
16687071	NRD1 
16687123	RAB3B 
16687132	TXNDC12 
16687146	TXNDC12 
16687150	CC2D1B 
16687188	ORC1 
16687208	ZCCHC11 
16687264	SELRC1 
16687273	ECHDC2 
16687328	C1orf123 
16687342	MAGOH 
16687352	LRP8 
16687418	TMEM48 
16687445	YIPF1 
16687467	HSPB11 
16687479	LDLRAD1 
16687487	TMEM59 
16687546	SSBP3 
16687598	PARS2 
16687618	DHCR24 
16687638	USP24 
16687737	PPAP2B 
16687829	OMA1 
16687847	TACSTD2 
16687851	MYSM1 
16874828	NKG7 
16687914	CYP2J2 
16687985	TM2D1 
16688002	MIR3116-1 
16688007	KANK4 
16688024	DOCK7 
16688123	ITGB3BP 
16688164	JAK1 
16688235	WDR78 
16688269	SLC35D1 
16688308	SERBP1 
16688323	GNG12 
16688330	RNU7-80P 
16688339	WLS 
16688386	DEPDC1 
16688420	LRRC40 
16688441	ANKRD13C 
16688469	PTGER3 
16688487	ZRANB2 
16688506	NEGR1 
16688594	CRYZ 
16688615	SLC44A5 
16688665	PIGK 
16688683	ZZZ3 
16688708	USP33 
16688753	FUBP1 
16688799	ELTD1 
16688929	GNG5 
16688937	CTBS 
16688961	SSX2IP 
16689020	MCOLN3 
16689042	SYDE2 
16689053	C1orf52 
16689060	BCL10 
17094893	ALDH1A1 
16689098	ZNHIT6 
16689182	ODF2L 
16689227	SEP15 
16689275	GTF2B 
16689289	CCBL2 
16689312	GBP3 
16689332	GBP1 
16689352	GBP2 
16689354	GBP2 
16689384	GBP4 
17077723	CYP7B1 
16689422	FLJ27354 
16689474	ZNF644 
16689546	TGFBR3 
16689581	GLMN 
16689618	EVI5 
16689650	FAM69A 
16689664	TMED5 
16689678	LOC100131564 
16689704	RN5S53 
16689706	BCAR3 
16689734	MIG7 
16689737	DNTTIP2 
16689752	GCLM 
16689828	ARHGAP29 
16689869	F3 
16689907	CNN3 
16689923	ALG14 
16781995	TRDJ1 
16690001	DPYD-IT1 
16690036	FRRS1 
16690062	LOC730081 
16690067	SASS6 
16690090	LRRC39 
16690103	DBT 
16690139	EXTL2 
16690151	DPH5 
16690211	COL11A1 
16690343	VAV3 
16690388	SLC25A24 
16690427	HENMT1 
16690473	CLCC1 
16690493	WDR47 
16690511	TAF13 
16690535	PSRC1 
16690566	SORT1 
16690594	PSMA5 
16690612	AMIGO1 
16690623	GNAT2 
16690638	GSTM3 
16690704	SLC16A4 
16690720	HBXIP 
16690760	LRIF1 
16690769	DRAM2 
16690789	DENND2D 
16690843	WDR77 
16690861	ADORA3 
16690919	KCND3-IT1 
16690928	MIR4256 
16690930	ST7L 
16690969	RNU7-70P 
16690974	RHOC 
16690996	PPM1J 
16691023	SLC16A1 
16691046	PHTF1 
16691078	RSBN1 
17110315	NDP 
16691177	TRIM33 
16691204	BCAS2 
16691262	NRAS 
16691270	CSDE1 
16691302	SIKE1 
16691373	ATP1A1OS 
16691403	CD58 
16691414	IGSF3 
16691434	RN5S55 
16691486	GDAP2 
16691591	WARS2 
16691621	ZNF697 
16691627	HMGCS2 
16691668	NOTCH2 
16691721	LOC100132966 
16691730	FCGR1B 
16691893	LOC728855 
16691929	LOC728855 
16691965	LOC653513 
16691972	PDE4DIP 
16692073	NUDT4P1 
16692080	LOC100505987 
16692088	POLR3GL 
16692112	GNRHR2 
16692135	POLR3C 
16692168	GPR89A 
16692197	PDZK1P1 
16692209	NBPF11 
16692290	LOC728989 
16692297	PRKAB2 
16692311	FMO5 
16692341	ACP6 
16692362	GJA5 
16692371	PDZK1P1 
16692383	NBPF24 
16692448	PPIAL4A 
16692452	NBPF14 
16692477	LOC100506032  
16692603	HIST2H2BF 
16692611	HIST2H2BF 
16692616	HIST2H3D  
16692620	HIST2H2AA4  
16692624	HIST2H2BC 
16692626	HIST2H4B  
16692632	HIST2H2BE 
16692636	HIST2H2AB 
16692656	SF3B4 
16692667	MTMR11 
16692701	OTUD7B 
16692724	ANP32E 
16692741	APH1A 
16692764	LOC100289061 
16692772	C1orf138 
16692775	MCL1 
16692787	ENSA 
16692805	GOLPH3L 
16666509	IFI44 
16848123	ABCA8 
16692857	ARNT 
16692892	CERS2 
16692918	FAM63A 
16692943	CDC42SE1 
16692985	LYSMD1 
16693014	VPS72 
16693030	PI4KB 
16693082	SELENBP1 
16693109	POGZ 
16693173	MRPL9 
16693187	TDRKH 
16693259	THEM4 
16693272	S100A10 
16693280	S100A11 
16693286	TCHHL1 
16693291	TCHH 
16693323	CRNN 
16693339	LCE3A 
16693357	SPRR2A 
16693379	SPRR2G 
16693406	LOC100653151 
16693414	S100A8 
16693427	S100A7 
16693433	S100A6 
16693449	S100A4 
16967875	PARM1 
16693465	S100A2 
17056825	TARP 
16693482	S100A14 
16693491	S100A13 
16693515	ILF2 
16693546	GATAD2B 
16693559	DENND4B 
16693601	CRTC2 
16693642	JTB 
16693656	RAB13 
16693762	C1orf43 
16693789	UBE2Q1 
16693813	ADAR 
16693864	PMVK 
16693872	PBXIP1 
16693891	PYGO2 
16693898	SHC1 
16693952	DPM3 
16693959	KRTCAP2 
16693976	MUC1 
16693996	THBS3 
16694036	GBAP1 
16694094	FAM189B 
16694117	SCAMP3 
16694135	CLK2 
16694178	RUSC1-AS1 
16694188	ASH1L 
16694237	YY1AP1 
16694266	GON4L 
16694322	RIT1 
16694332	KIAA0907 
16694357	SNORA42 
16694359	SCARNA4 
16694361	ARHGEF2 
16694409	SSR2 
16694429	UBQLN4 
16694446	MEX3A 
16694454	PAQR6 
16694472	SMG5 
16694506	C1orf85 
16694529	CCT3 
16694593	MEF2D 
16694689	NES 
16694701	CRABP2 
16694716	ISG20L2 
16694728	MRPL24 
16694742	HDGF 
16694804	ARHGEF11 
16694869	ETV3 
16695135	LOC100131825 
16695205	TAGLN2 
16695258	PIGM 
16695268	IGSF8 
16695284	DCAF8 
16695321	PEX19 
16695345	COPA 
16695392	SLAMF6 
16695406	CD84 
16761326	KLRC4-KLRK1 
16695463	ITLN1 
16695490	F11R 
16695504	F11R 
16695508	TSTD1 
16695517	USF1 
16695535	ARHGAP30 
16695558	PVRL4 
16695572	PFDN2 
16695578	DEDD 
16695602	B4GALT3 
16695627	ADAMTS4 
16695643	APOA2 
16695690	C1orf192 
16695741	OLFML2B 
16695791	RGS5 
16695888	ALDH9A1 
16695907	TMCO1 
16695923	FAM78B 
16695944	TADA1 
16695994	CD247 
16696013	CREG1 
16696062	BRP44 
16696094	ANKRD36BP1 
16696100	LOC100505918 
16871467	HSPB6 
16696120	DPT 
16696138	NME7 
16696177	SLC19A2 
16696187	F5 
16696270	METTL18 
16696276	SCYL3 
16696295	KIFAP3 
16696373	VAMP4 
16696387	DNM3OS 
16696395	PIGC 
16696416	TNFSF18 
16696490	CENPL 
16696504	GAS5 
16696531	SNORD78 
16696533	SNORD75 
16696548	RC3H1 
16696575	RN5S68 
16696602	MRPS14 
16696614	KIAA0040 
16696657	RFWD2 
16696685	SCARNA3 
16696785	LOC730102 
