> iCTB	M
TFPI2	-4.46359775
IGFBP7	2.97399875
TCL6	-3.71813125
FCER1G	2.172572125
SGPL1	1.228925875
LOC100507058	-2.80148975
ZNF804A	1.852924625
CXCL13	2.56212075
SLC52A1	-1.604407375
NKG7	4.041172
DCP2	-1.223416125
ITIH5	-1.39942025
LOC100287562	3.00998975
STON1-GTF2A1L	2.142356375
ODZ3	-1.907936875
GPR174	3.2559255
GAS1	2.811631
FGG	4.705886625
HLA-A	2.075460875
AVPR1A	3.23204925
LOC100652947	3.011617375
PLEKHA8P1	-2.334104375
INPP4B	1.804601375
CDK2	-1.885272375
S1PR2	-1.424121125
HLA-A	1.8138385
TPM2	1.76229575
RBKS	1.30500375
RGCC	2.026189375
CGB8	-2.2917005
FGF2	2.98829125
TP53I3	1.68439675
CAB39L	2.42413575
IL13RA2	1.99059925
SPDYE8P	-1.974605625
SPDYE8P	-1.974605625
EOMES	2.12213075
GPR65	2.8797805
C13orf33	4.41038025
C5AR1	2.080298125
KCNK6	1.582923625
TLR2	2.121118375
MCC	1.485963375
HCST	1.938611125
CXorf21	1.75423575
PRNP	1.125201125
SLC2A1	-1.8840465
CLECL1	1.867939375
MIR498	-3.11155725
DNASE1L3	1.343138375
C10orf107	2.99543475
TYROBP	2.35650675
PKIB	-3.095545375
KCNH1	1.708604625
FAM155A	1.878630625
LAPTM5	2.491039125
HAVCR2	1.37033225
CTSW	3.117443125
OPHN1	-2.0813795
HLA-DMB	1.72266775
MSR1	1.7621925
MACC1-AS1	3.33014425
UG0898H09	1.583805
HLA-A	1.798489125
LOC100505659	-3.99087625
BMP5	-5.459321375
CD38	2.191548
ADAMTS6	-2.8938985
ARL4D	1.925456625
PDZK1IP1	2.681047625
LSAMP-AS1	1.5683775
CFH	5.2607995
RCBTB1	1.447378
RBP4	3.537634875
GNPDA2	1.850582
WDR76	-1.40103175
FAM213A	1.498345375
GPRC5B	2.64491325
HLA-DPB1	1.701480875
FAM129A	1.317502375
SLPI	6.01162925
FMR1	-1.23491075
CILP	1.829797
ATP2B4	1.40654125
CHRDL1	6.0575045
ZFAT	-2.26811025
HLA-DQB1	2.45595225
HLA-DQB1	2.46484575
AAK1	-0.978870875
NEDD4L	-1.685392875
CYP11A1	-1.762695375
HLA-DRB3	3.32797325
ADAMTS5	3.037329625
ADAM12	-1.49594675
RNASE2	2.99969525
MDM1	1.648622
HLA-DMB	1.763650625
HLA-DPB1	1.640721125
MGST1	2.169552625
HLA-A	1.64140725
AIM1	-3.32583
LOC145820	1.58227525
TLK1	-1.00673375
HLA-DQB1	1.559960625
HLA-DQB1	1.559960625
TARSL2	1.20678775
DKK1	4.061382375
HLA-DPB1	1.75095625
HLA-DPB1	1.75095625
CTSK	3.6541565
FGL2	2.394391125
SPAG1	1.6281325
GDA	-1.841112
PAMR1	1.8374905
CLN3	-1.687817
EGFL6	-5.05667875
IL2RA	1.38539475
SERPINA3	2.6105465
LGALS8	-1.1504705
TNFSF13B	1.641858875
HLA-DMA	1.56195875
RGPD2	-1.323820625
SETDB2	2.033263375
RN5S26	1.906795125
HLA-DMA	1.3284435
SLC38A1	-1.647226
INSL4	-4.20674175
PLEKHH2	2.86483725
WDR41	1.67433575
IGFBP6	2.672730125
HLA-DRB3	2.552912125
ISLR	2.31265275
PYHIN1	1.73791875
IL18	1.9074235
NFE2L1	1.44343125
LOC100507127	2.357527875
ZNF727	2.40246775
C1QC	2.2963585
TIMP4	1.760308875
OLAH	-3.1986645
RPS6KA5	-2.219842625
RNF128	-2.225862625
FAM13A	-1.989623
LOC100127983	1.584407125
LOC100506670	-1.5515365
KLRC1	4.523216875
LOC100506655	-3.92470325
SLA	1.021950375
FGB	3.15597675
SLC43A2	-2.751143
MGP	2.506382625
KLRB1	2.549684
ALDH3A2	1.313026125
LCP1	1.531940375
HLA-DQA2	2.4307955
MRPL33	1.302995375
TNC	1.53208025
ESRRG	-2.658858625
PSG1	-2.390505125
C11orf70	1.925100125
CFL2	1.37521975
HLA-DMA	1.2535455
PALMD	3.10975625
C1QA	1.979907125
GZMB	3.20948975
NCAM1	2.05576575
TMEM204	1.0938645
TNFRSF11B	2.453853875
STAMBPL1	2.343605375
TCN2	1.226983875
IFI16	1.715933625
LINC00265	-2.123004625
POLA1	-1.1435505
RFESD	-1.39431375
CD68	1.944977
MYO5A	1.88843475
PREPL	1.120469
LMOD1	2.195801625
LOC100128252	1.77638
CACNB2	1.224247375
KAL1	1.771381
RDH13	-1.59056525
STK3	-1.005458125
MSANTD4	1.49320075
INHBA	-2.87810975
ANG	2.201318625
ADRA2C	2.5257675
MIR205	-1.043314
SNORA78	1.847992375
LOC100507390	1.876252375
AKAP6	1.155611
GLDN	-2.856813625
TNS4	-1.912799375
CTSS	2.535479875
FBLN2	1.444127625
NCOA3	-1.4909915
IGF2BP3	-1.461943375
CD53	2.13357825
KLRC3	4.57983725
GYLTL1B	-2.054544875
GLIPR2	1.34401675
LINC00328	-1.95753125
TLR4	2.6009325
RGPD2	-1.191329875
HLA-DPA1	2.816712125
EBLN2	-1.575277625
C15orf42	-1.623143125
HOXA11	2.242949375
MS4A7	2.21347825
P2RY6	-1.39230475
XCL2	3.215201625
S1PR4	1.3421705
PI15	4.40026125
PSG3	-2.059135875
PCOLCE2	-1.684298625
PLXND1	1.128208
AOAH	1.818734625
C15orf29	-2.884575875
RGL1	1.367826625
PTGDR	1.9474945
LYZ	2.2749185
SPAG5	-1.111816125
TMSB4X	1.73991175
DDAH1	1.05697775
LRRN4CL	1.118790875
HLA-DQA2	2.534462
CERK	1.33662075
OXT	1.70559875
COX7A1	3.251400625
LRRC1	-1.489810625
CLEC2B	2.895782625
RTTN	-1.231212375
IL1B	1.796975375
MCM4	-1.051792125
OSGIN2	2.229769875
ICA1L	-0.9271465
JUN	1.956031375
MIR4263	1.975224375
RN5S328	-2.494084125
TBX20	-1.616353625
ZNF516	1.39764125
ASPN	2.720710625
ANGPT2	-3.34128775
MACC1	2.1616685
HLA-DRA	5.00506625
S100A16	1.425826875
SCIMP	1.2862245
SIPA1L2	1.934663125
HLA-DPB2	1.226872875
HLA-DPB2	1.226872875
COBLL1	-1.502551
KIAA1377	2.123980625
MEST	-1.623233375
TFAP2A	-1.35076375
GZMA	5.275594625
OMD	5.00095275
GANC	1.09799
TOMM34	-1.214904
CORIN	1.591343
MAN1A2	-1.3780685
NET1	-1.420785
DIAPH3	-1.8310105
VGLL1	-1.44484175
ARL3	1.3712645
KATNAL1	1.506690875
PLD1	1.56703875
GALNT13	1.430392
PROSER1	-1.282589625
SEMA3A	2.994063375
HGF	-3.809364625
LOC389033	2.103461
FHL5	3.37561475
RNASE6	2.51359675
ZNF750	-1.515380375
PPP1R18	1.090298125
TLR1	2.26350825
PRC1	-1.318602875
ATP6V1B1	-1.73830075
RRAS	1.827391625
TWISTNB	1.679422125
LDOC1	0.886800625
CD83	1.160810625
SLC9B2	1.029322375
IFI27L1	0.867245125
CD4	1.17702
ICAM1	1.2078495
VWF	1.8016305
RABL5	0.81003825
GPR82	3.082492875
MSN	1.817405625
ALKBH3	1.199302875
DNLZ	1.630078625
XG	1.1769385
GRIP1	-1.76432675
IGSF5	-2.760116625
PRL	5.62669025
SPC25	-1.02456125
TLR7	2.182329
LGALS16	-4.2627135
HLA-DRA	5.09872825
STK39	1.9560315
P2RY10	1.7167075
CCL3L3	1.87899875
OGN	2.575928625
ADK	-1.055249
HLA-DRB4	1.812221625
TIPARP	1.77509775
GLB1L2	2.385337125
FAM5B	1.454783125
ATL1	1.120089
TPST1	2.0324695
SEMA6A	-3.158435
TAGAP	1.674985
AKR1B1	-1.109237
ANK3	-2.5935425
LOC100128988	-3.353566875
WEE1	-1.473933375
IRF6	-1.55377225
PLAT	1.58766325
HLA-DRA	4.798860625
ARHGAP15	1.850955125
CERS6	2.307739625
SMARCA1	-0.901287
ZBTB20	1.509611375
NRF1	-1.096960375
NUSAP1	-1.4706515
HLA-DQA1	2.861714625
UBE2C	-1.32095425
SRPX2	1.329620125
LPAR1	1.699373875
CST7	2.061905375
PLCL1	2.582030125
LOC100131283	1.8651925
BRWD1-IT1	-1.5401645
LOC284561	-2.672927125
CXorf69	1.71181925
AKAP12	1.051002375
EMP1	1.700326125
ST6GALNAC6	1.298772625
CDA	1.70104375
HLA-DRA	5.003407625
TPX2	-1.467141625
HLA-A	1.326243
HLA-A	1.326243
PEPD	0.989663
SLC7A5	-2.1220985
SSC5D	1.25800275
F2R	3.551280125
ZNF808	-1.0519855
C6orf225	1.69078725
EML4	-1.312915125
RBP1	2.0362665
CLIP1	-1.577363875
HLA-DRA	5.054732125
HLA-DRA	5.054732125
HLA-DRA	5.054732125
GABRE	-3.396038
HLA-DQA2	2.47542125
NPR1	1.674168375
MST4	-1.559462375
RAI2	1.437521375
CCDC170	2.144180375
HLA-DPB1	1.451550125
HLA-DPB1	1.451550125
HLA-DPB1	1.451550125
PRR15	2.22011775
COPZ2	1.842408
CLEC14A	1.44392
LOC100505944	-2.561745625
SOCS5	1.16261225
LOC100506823	-4.00227925
SAMD3	1.324183
HNRNPR	-0.810740625
GNPTG	0.875507
MCM3	-1.06995125
TXNDC15	1.053495875
DPYD-AS1	2.00812625
RN5S387	-1.996986625
INE2	1.43803925
PCBD1	1.87185725
THBS1	2.218695125
CYTIP	1.034783
LOC100653273	1.173470375
TMEM176A	1.190327125
HLA-DQA2	2.766758
HCK	1.108806125
SORL1	1.667899125
ZNF438	1.286234875
EDNRB	1.360963875
LOC100128098	-1.810112625
GPR125	-0.880292375
MPP7	-2.803291
ARL2BP	1.013395125
RFWD3	-0.856307
CP	4.32439575
FAM46A	-1.3921575
HLA-DQA2	2.309204
MCM5	-1.279480375
ADAMTS2	1.600611625
BIRC3	1.765073125
FLVCR2	-1.072459875
MAST4-IT1	-2.302575875
ACSL1	1.498556375
PSG5	-2.287113375
DYX1C1-CCPG1	1.400292
C21orf91	-1.2672255
PVRL3	-1.821835125
PBX3	1.150839
ZFAT-AS1	-1.614493
PIK3CG	1.857666625
FAR2	-1.166557625
NUPL1	-0.9782135
GTF2I	-1.363398875
CHI3L2	2.817383625
EOGT	1.331962875
HLA-DRB1	2.06551975
HLA-DRB1	2.06551975
PLA2R1	1.853129875
FAM156B	-1.579131125
LOC100506523	-1.810899875
C1RL	1.393286625
PTGDS	1.422156125
HLA-DQA2	2.550355125
IL1RL1	4.4992065
PCDH10	-2.96468325
ANKRD1	3.989747625
C10orf10	1.310209375
DEPDC1	-2.14740925
C6orf183	-1.534648625
RGS2	2.298209
MBTD1	-1.24024
PBLD	0.9868355
WNT4	1.415603
RASD1	1.63054625
EZH2	-1.35333725
NUPR1	1.341944
MLLT11	1.591324375
CST11	3.463387375
MID2	1.388004875
ANGPTL4	-1.1719915
ORC1	-0.940579875
RNASEH2C	1.025261
TGFBR2	1.187043125
ATP10D	-1.9404
C2	1.141342
DOCK9-AS1	-2.250099625
ABLIM3	1.59335225
PLN	2.63109475
HLA-F	1.073845375
EDARADD	-0.838988
CD209	1.699304
PROK1	3.847461
C2CD4B	1.494719875
FOXO1	1.679016625
ANLN	-1.817956375
TST	1.184944625
AMMECR1	-1.256800625
CFD	1.93269375
IRS2	1.4098475
THBS2	0.86033125
SCARNA9	-1.101464375
WISP1	2.0576255
GOLGA4	-0.785871
FXYD3	-1.598806
CAPN6	-2.274235375
NF1	-0.85613025
VASN	0.965342375
SNAP91	1.185145875
CYBRD1	1.56555075
LTA4H	1.076665625
DOCK9	-1.430386625
ST6GAL1	1.001669
MCM8	-0.9595505
PLEKHH1	-2.09900375
XGPY2	1.94615625
PLEKHA6	-2.43864375
CH25H	1.328532
MB21D2	-1.578112
CAPN5	0.934507875
SVEP1	-4.27896225
TMC1	-1.431322375
MAN1C1	-1.73338
RNU6-60	-2.865241625
DYRK1A	-0.876349375
ZNF287	1.335957375
KRT37	1.21386375
CHML	-1.3129935
FAM49A	-1.046795375
VGLL3	-0.879727375
HLA-A	1.29623
TUBA3E	2.305614625
KANK2	1.38983225
GPR155	2.28622375
CYB5R1	-1.061625625
KYNU	-2.615088125
LOC729678	1.323656625
RDH10	0.944902375
ERVH48-1	-3.01780325
PIP5K1B	-1.3790385
TREML2	-2.306626875
SLTM	-0.843933875
PDGFRB	1.6525115
TRIM33	-1.0753685
SLC22A3	-2.081485625
IL18R1	1.725816
PVRL2	1.151273
GLB1L	1.211991625
DPP4	-1.727074125
KCNN4	-1.15784225
RASGRP2	0.9683575
EZR	-1.32487725
CHST7	1.345806625
MTMR1	-1.092757875
FKBP1B	0.995235875
PSG9	-3.069734
PPP1R9A	-1.133650875
MUC15	-3.72136025
POLR3GL	0.854359125
CKMT1B	-2.431051
CTSD	1.2035035
PTGER4	1.874663
LOC440434	-1.06058025
LOC728093	2.609798125
LOC728093	2.609798125
LOC728093	2.609798125
LOC728093	2.609798125
CD300A	1.17187425
LINC00478	1.5898775
SPDYA	-2.474137375
SLFN12	1.376763625
KMO	-3.530999375
MXRA7	2.75308175
TOP2A	-1.88064625
NR1D1	1.535596125
CDC6	-1.533699
SOD3	1.406142125
TEX10	-1.37622075
ITGB8	2.32453225
DIRC2	-0.924252375
ARHGAP32	-2.128191125
KIR2DL4	1.975011625
CD248	2.435847375
HDGFRP3	1.900260125
ADCY1	1.1897015
LGR5	-3.887634125
RGPD6	-1.290966375
PLA1A	1.73628425
LARGE	1.236864875
EMX2	1.619791625
FLJ27352	1.296970125
MTDH	1.741894
TARP	1.198928625
PGAP1	-1.669352875
SRSF2	-0.7143775
ZNF507	-1.02229825
PRKACB	1.887731625
C7	-2.891881
PRPS1	1.538707
LIMK2	-1.202974875
SMYD2	-0.78795475
DDAH2	0.920288
HS3ST3B1	-1.6246075
KERA	2.433334625
DST	0.9912
TCTA	1.07025075
HSPBAP1	-1.00332675
EXO1	-1.52506275
GIMAP7	1.49807575
TMEM47	2.8320615
MASP1	1.045742125
CENPI	-1.3978005
APOD	3.761196
OLFML2B	1.780636875
CCNA2	-1.773227375
KIF23	-1.01445975
DNAJC12	1.159307875
GLCCI1	-1.2200205
SCARNA7	-0.860752
MAST4	-1.203010375
RUNX3	1.0277815
ALDOC	0.82587925
ARMCX1	1.42721625
MIR4698	0.827879875
ESRP2	-0.935418125
RNF144B	1.892232375
FAP	1.978055
LOC100507508	1.61797975
KIF2A	-1.18769325
ID4	1.719113875
MAFB	0.9578945
P2RY14	2.633492375
LARP6	0.9693535
RGPD6	-1.233088875
DUSP16	-1.579890625
GOLM1	0.893443375
CXCL11	1.816362375
TRPS1	1.526275375
PLEKHA8	-0.9757825
ALDH1A2	1.75672
ITGAX	1.53754775
LOC100293977	1.532896
GADD45A	1.52087425
MGST3	-0.711325
RNF43	-1.347915
HLA-DQA2	2.396847
CCDC104	0.970417
CAP2	-1.66892325
SLC25A30	1.605994375
MANEA	1.52938325
LOC401109	-0.96709425
PHLPP1	-1.524634375
POLR2L	0.980872375
ACVR2B	-0.970997
CD58	1.677008625
SDC1	-1.87228775
NEDD4	-1.222599875
ST6GALNAC3	1.800421125
STC1	-1.43024475
NUDT16	0.929046625
RNU7-26P	-2.360811125
TAGLN	1.72424775
IMMP2L-IT1	-1.281843375
ADRB1	-1.701430875
GULP1	-1.793474625
RIN2	1.237596
ZSCAN30	0.965009875
DDAH2	0.930681
DDAH2	0.930681
DDAH2	0.930681
DDAH2	0.930681
IL15RA	1.3219175
GJA1	1.423586875
RPSAP58	-1.000778875
SNRPN	1.500327625
NASP	-0.931627125
CLEC2D	1.555069375
CCNB1	-1.965559875
LYSMD2	0.931069875
RGPD4	-0.990494375
PNMA1	1.01323175
SH3BGRL3	1.167675
RNASET2	1.160892125
TMX4	1.17806325
KIR2DL3	2.62926325
TLR6	1.38796525
TAB3	-1.390496625
STEAP4	-1.483179
PLXNA4	1.071234375
BUB1B	-1.097262375
BET1	-1.901682
SNORD16	-1.422072875
CD69	1.6774715
MECOM	1.998267
CSHL1	-3.55896175
FAM117B	-1.028177375
TYMS	-1.608604625
MYH10	-1.484318125
CHST2	1.254132375
UBE2T	-1.47184275
HELLS	-2.145307125
RNLS	0.886729375
RGPD8	-1.229891125
C21orf91-OT1	-3.086734875
ATP13A3	1.36991725
PARD3	-0.933788
CGA	-1.65289925
CHST15	1.251011
ACTR3C	-0.883316
NBEAL1	-0.7417945
ANKRD28	0.808904125
METRN	2.156588875
TCTN1	0.79627875
RAB3IL1	0.77878725
GNG4	1.216544375
SLAMF8	1.409514625
CCDC107	1.101716875
AHSA2	-1.216309375
SHANK2	-0.8748215
ST7-OT4	-1.406380125
GRHL1	-1.305074375
SGOL1-AS1	-1.151834875
FAM84A	-0.96521375
ERVV-1	-2.733148125
FGA	3.597713125
NHSL1	-2.092050125
TMEM2	-1.77216525
TPRXL	-2.057188625
PRICKLE2	0.888694
PVRL4	-1.274752375
ATP7B	-1.296263375
PITX2	-1.061438625
IFITM2	1.69849225
TTPAL	1.41330525
APBB1IP	1.525346375
SPARCL1	2.826257625
SMAP2	0.9706475
ZNF32-AS1	1.209053375
NFE2L3	-1.800823375
TMEM30B	-1.0333725
KCNA7	-0.70753275
LOC100507066	-1.2401945
LONP2	-1.3459485
GRHL2	-1.46222375
RNF138P1	1.415245875
SPIRE1	1.021543625
ZNF83	-1.313120625
NRK	-1.9971765
HMGA1	-0.933306125
TUBA3D	0.931269125
SGOL1	-1.612997625
DNMT1	-1.2344685
MED13	-1.035290125
PSG8	-3.52113
SIGLEC7	1.41882825
ASAP2	1.0651935
EVI2B	1.636331125
ROS1	1.5623735
MARVELD2	-0.95778875
ALCAM	1.3933325
GSTM5	1.6585695
SLC29A1	-1.487888375
KHDRBS3	1.33625975
RNF130	0.962682125
TRIM40	-2.68115825
SERINC5	-1.392329625
EFHA2	-2.681310125
YES1	-0.896436625
TRIM40	-2.653891625
LPCAT2	1.249493
HP1BP3	-0.89647825
MIR424	-2.16185425
SYNJ1	-1.2440055
ST3GAL5	1.8981965
GPR97	0.934079625
CXCL9	4.473176625
CCL5	1.57508475
CLIP3	1.196670625
MLLT10	-0.79825675
PDE6H	1.9608575
SLC1A1	3.02910475
IMPA1	1.227722375
N4BP2	-1.0737495
TMEM220	1.550200875
ZNF271	1.284402875
SNCAIP	1.610729
SH3BGRL	1.80430275
ATAD5	-1.527423375
DACT2	-1.109833625
C4A	1.404194125
FAM20A	1.077312375
FAM110C	1.361744625
C16orf45	1.212595375
REN	2.910278375
MORN2	1.564277
MED12	-0.8978765
MYO16-AS1	3.25954725
GPR87	-1.913010625
LOC100505701	-3.16181325
NFASC	1.028156625
C4B	1.49136925
CCL3	1.35443875
SLC46A3	1.75128675
TRIM24	-0.941763125
RDX	-0.89972325
GNLY	2.261195
ATP6AP2	0.741327
BBS4	0.62732075
SNORD13P2	-2.117143
FCGR2A	1.20691725
ZFAND4	1.349276
COG3	-0.805173
ARHGAP26-IT1	-2.14278875
STAB1	1.203010375
ECM2	1.843058625
CCL2	2.247571
TKT	-1.0358175
WNT5A	1.8753435
KLRF2	3.00592125
LOC100505828	-1.0206255
ATF3	-1.215479875
SCARNA2	-2.18564425
EPHX4	1.394339125
URB1	0.809267
CASC5	-1.725021875
PSG1	-2.445309875
USP43	-1.1725225
ADK	-1.544547125
EIF4G3	0.88895275
TFDP2	-1.102891375
C4B	1.402848375
LARP1B	-1.092949125
IFITM4P	1.177184625
IFITM4P	1.177184625
C4B	1.295346375
CA11	1.14181725
C11orf30	-1.508506875
NAP1L4	-0.70801825
CHST3	0.89773525
MIR1305	-2.964179375
PAPSS2	1.265544875
LTBP2	0.935904
RHOBTB3	-1.456949375
LOC100653102	-1.4142855
FOLR2	1.466792875
KLRF1	3.211160375
ALAS1	-0.910451
LIN28B	-1.380022
CENPF	-1.489277875
FKBP5	1.403155375
IKZF3	1.209109125
SPIRE2	-1.323359125
CCDC169-SOHLH2	-1.376186375
RN5S109	-2.37657025
SELPLG	1.20716825
POLI	-0.9953395
CEP152	-1.2032605
RAB32	1.55407775
APCS	2.288783875
EPHB4	-1.221407625
CD36	-3.067340875
HLA-E	1.24611175
HLA-E	1.24611175
HLA-E	1.24611175
HLA-E	1.24611175
CYP39A1	1.3918165
SLCO2B1	0.89428125
MET	-1.90655075
CENPJ	-0.92054
HSD17B14	1.591439125
MIRLET7G	-1.75618275
MAP1A	1.102748875
ERVMER34-1	-1.073277875
PUM2	-0.71343975
ATP8B2	0.788512625
CCL8	2.55153375
CCNE2	-1.355920375
HCP5	1.012447
GGH	-1.92615225
C20orf141	0.883212875
RBL1	-1.239708875
MR1	1.041894375
KISS1	-3.893799375
SNAR-G1	-1.33730925
LOC100288198	-0.989918625
ERBB2IP	1.168126
TMSB4XP4	1.137439375
APOBEC3G	1.220501875
CDCA2	-1.076189375
TMC8	0.7544885
LONRF2	1.779875875
HLA-DQA1	2.676743
MSH5-SAPCD1	0.95917275
CDKN2C	1.23316925
RN5S268	-1.759066375
SLC13A3	-2.579256
JHDM1D	-1.688572375
GPSM2	-1.2795565
HSD17B1	-2.77386275
PSMB9	1.0908155
KIF22	-0.85798825
KIAA1161	-1.055693
DMKN	0.943358
C4B	1.454816875
ITGA1	1.014996125
SIAH1	-1.847718875
TUSC2	1.04382325
ASL	0.90405225
SYCP2L	-1.528426625
IRF8	1.41306925
LILRB4	1.313978
FAM160A1	-0.934111875
MIR503	-2.676237375
OSBPL1A	1.347067625
ESYT2	-0.8039195
ITGAD	1.81632325
TRIM40	-2.516563375
TRIM40	-2.516563375
PDXDC2P	-1.402451375
IGSF10	1.923146125
FGD5	1.183324375
CD82	1.833659
CHRNB1	-0.8597235
ENDOD1	0.97813925
PDGFRA	2.1518735
ABCA5	-1.103497375
DHRS3	1.892098625
CRYZ	1.420968125
TLR3	-2.65265575
IFITM4P	1.102943375
IFITM4P	1.102943375
TSPAN1	2.358908625
