Pathways	AnalysisName	 -log(p-value)	Ratio	z-score	Molecules													
Renin-Angiotensin_Signaling	iCTB	1.92	0.0467	2.236	JUN	CCL2	PRKACB	REN	PIK3CG									
LPS/IL-1_Mediated_Inhibition_of_RXR_Function	iCTB	1.81	0.0347	2.236	TLR4	JUN	TNFRSF11B	LY96	IL1B	ALDH1A1	GSTA1							
Glioblastoma_Multiforme_Signaling	iCTB	1.41	0.0345	2.236	PDGFD	PDGFRA	WNT5A	PLCL1	PIK3CG									
Macropinocytosis_Signaling	cCTB	2.07	0.0896	2	ITGB6	PRKD3	MET	PIK3CB	ITGA5	ITGB4								
Role_of_BRCA1_in_DNA_Damage_Response	cCTB	1.57	0.0781	2	BRIP1	RFC3	FANCE	BRCA2	RAD51									
UVB-Induced_MAPK_Signaling	cCTB	1.31	0.0769	2	FOS	PRKD3	PIK3CB	EIF4EBP1										
Paxillin_Signaling	cCTB	1.37	0.0625	2	ITGB6	ITGA2	PXN	PIK3CB	ITGA5	ITGB4								
iCOS-iCOSL_Signaling_in_T_Helper_Cells	iCTB	2.79	0.0612	2	LCP2	CD3D	PTPRC	FCER1G	IL2RG	PIK3CG								
PDGF_Signaling	iCTB	1.77	0.0519	2	JUN	PDGFD	PDGFRA	PIK3CG										
PAK_Signaling	iCTB	1.61	0.0465	2	PDGFD	PDGFRA	MYL9	PIK3CG										
SAPK/JNK_Signaling	iCTB	1.58	0.0455	2	JUN	MAP3K5	FCER1G	PIK3CG										
Fc_Epsilon_RI_Signaling	iCTB	1.33	0.0377	2	LCP2	FYN	FCER1G	PIK3CG										
Sphingosine-1-phosphate_Signaling	iCTB	1.3	0.037	2	PDGFD	PDGFRA	PLCL1	PIK3CG										
Sperm_Motility	sCTB	2.49	0.0357	2	PLCB1	GUCY1A2	GUCY1B3	PLA2G2A										
Synaptic_Long_Term_Depression	sCTB	2.22	0.0299	2	PLCB1	GUCY1A2	GUCY1B3	PLA2G2A										
ERK/MAPK_Signaling	cCTB	1.63	0.0549	1.897	FOS	PLA2G10	ITGA2	ELF4	MYCN	PXN	PPARG	PIK3CB	ITGA5	EIF4EBP1				
TGF-beta_Signaling	cCTB	1.55	0.069	1.633	FOS	BMPR2	INHBA	TGFB1	TGFB2	INHA								
Coagulation_System	iCTB	4.11	0.143	1.342	FGB	FGA	F3	VWF	FGG									
Complement_System	iCTB	7.85	0.222	1.134	C1QC	CFI	C5AR1	C4BPA	CFD	C1S	C3AR1	C1QA						
Cell_Cycle:_G2/M_DNA_Damage_Checkpoint_Regulation	cCTB	2.03	-0.102	-0.447	SFN	CDK7	SKP2	WEE1	CCNB1									
Antioxidant_Action_of_Vitamin_C	cCTB	1.45	-0.0652	-2	SLC2A3	PLA2G16	PLA2G10	PLCL2	SLC2A1	HMOX1								
LXR/RXR_Activation	iCTB	3.91	-0.069	-2.121	TLR4	TNFRSF11B	LY96	IL1B	APOD	CCL2	FGA	RBP4						
PPAR_Signaling	iCTB	2.25	-0.0562	-2.236	JUN	TNFRSF11B	PDGFD	IL1B	PDGFRA									
Protein_Kinase_A_Signaling	sCTB	1.31	0.0136		PLCB1	GNG11	PTPRD	MYLK	PDE5A									
Endothelin-1_Signaling	sCTB	1.91	0.0242		PLCB1	GUCY1A2	GUCY1B3	PLA2G2A										
Relaxin_Signaling	sCTB	2.24	0.0303		GUCY1A2	GNG11	GUCY1B3	PDE5A										
CCR3_Signaling_in_Eosinophils	sCTB	2.52	0.0364		PLCB1	GNG11	MYLK	PLA2G2A										
Cellular_Effects_of_Sildenafil_(Viagra)	sCTB	3.28	0.041		PLCB1	GUCY1A2	GUCY1B3	MYLK	PDE5A									
