IGF2BP3	23310209	23470467
KMT2C	152134922	152436005
MDFIC	114922154	115019916
MET	116672390	116798386
RAC1	6374523	6403977
SERPINE1	101127089	101139266
ZNF277	112206588	112343096
ZNF655	99558406	99576453
ZNF800	127346790	127431924
CPNE3	86484830	86561498
LYN	55879813	56011381
MCPH1	6406592	6643623
MTUS1	17643795	17800917
OXR1	106270178	106752694
PLAT	42175233	42207724
SPAG1	100157906	100259278
TRAM1	70573442	70608387
ABCA1	104781002	104928237
ANKRD20A1	67859147	67902094
CORO2A	98120975	98192640
GLIS3	3824127	4348392
LRRC8A	128882112	128918039
SET	128683424	128696400
TNFSF8	114893343	114930595
UGCG	111896766	111935369
ADRB1	114044056	114046908
CHST15	124007666	124093607
EPC1	32267751	32378798
FAS	88990531	89015785
KIAA1462	30012800	30115494
MRPL43	100969458	100987515
PRTFDC1	24848607	24952604
SRGN	69088106	69104811
CD44	35138870	35232402
DIXDC1	111927144	112022584
ELF5	34478793	34513805
FAM76B	95768942	95790409
IGF2	2129112	2149603
IL18	112143251	112164117
MARK2	63838928	63911019
MRGPRF	69004395	69013409
PICALM	85957684	86069882
PIK3C2A	17077730	17207983
RDX	110174880	110296722
SIK3	116843402	117098437
ACRBP	6638075	6647460
ACSS3	80936414	81261205
CCT2	69585334	69601570
CLEC7A	10116777	10130258
CLIP1	122271432	122422632
EIF4B	53006158	53042209
GAS2L3	100573683	100628286
IKBIP	98613405	98645113
KIAA1467	13044284	13142521
LIMA1	50175788	50283546
LIN7A	80792520	80937925
METTL7B	55681546	55684611
MUCL1	54830519	54858393
NTS	85874295	85882992
PARPBP	102120185	102197520
PTPN11	112418351	112509913
SCYL2	100267140	100341724
TMTC2	82686880	83134870
TMTC3	88142296	88199887
ARL11	49628299	49633872
ATP8A2	25372071	26025851
CAB39L	49308650	49444126
DIS3	72752169	72782096
DNAJC3	95677139	95794989
FLT1	28300344	28495128
LAMP1	113297241	113323672
LCP1	46125920	46211871
MIPEP	23730189	23889419
SACS	23328823	23433728
SAP18	21140514	21149084
SLC25A30	45393316	45418455
SLC46A3	28700064	28718970
SPG20	36301638	36370180
TBC1D4	75284665	75482114
TRIM13	49995888	50020481
ZMYM5	19823482	19863636
AMN	102922656	102933596
CFL2	34706769	34714823
EIF2S1	67359997	67386516
EML1	99737693	99942060
ERO1L	52639916	52695900
MAP4K5	50418501	50561126
MMP14	22836557	22849027
PAPOLA	96501433	96567111
PTGER2	52314305	52328606
SMEK1	91457611	91510554
SOS2	50117120	50231558
SUPT16H	21351472	21384266
SYNJ2BP	70366496	70417061
ZFP36L1	68787660	68796253
AQP9	58138169	58185911
ARNT2	80404350	80597937
ATP8B4	49858238	50182817
FAM63B	58771192	58861900
THBS1	39581079	39599466
CDH11	64943753	65126112
HBZ	152687	154503
NFAT5	69565094	69704666
RFWD3	74621394	74666881
CCL18	36064280	36072032
CDC27	47117703	47189422
GDPD1	59220467	59275967
LSM12	44034635	44067619
MSI2	57255851	57684685
MTMR4	58489529	58517905
P4HB	81843159	81860694
PTRF	42402452	42423517
SLFN5	35243036	35273655
SRSF1	58003360	58007346
ZNF652	49289206	49362473
ANKRD12	9136228	9285985
EPG5	45847609	45967274
FAM210A	13663347	13726663
IMPACT	24426616	24453535
KDSR	63327726	63367510
LPIN2	2916994	3013315
MIB1	21704957	21870957
RIOK3	23452823	23486603
RNF125	32018372	32073213
ROCK1	20946906	21111851
SLC39A6	36108532	36129385
SMAD4	51028394	51085045
SMCHD1	2655738	2805017
SOCS6	70288901	70330200
SS18	26016253	26091217
TCF4	55222331	55664787
YES1	721588	812546
ZADH2	75195108	75209348
ZCCHC2	62523007	62587709
AKT1S1	49869033	49878459
C19orf26	1228287	1238027
ERF	42247572	42255157
FXYD3	35115879	35124324
INSL3	17816512	17821574
TPM4	16067021	16103005
ZNF146	36214602	36238774
ZNF614	52012765	52030240
COL9A3	62816244	62841159
DIDO1	62877738	62937952
ITCH	34363235	34511393
SRSF6	43457928	43464247
ABCG1	42199689	42297244
ADAMTS1	26835747	26845409
BRWD1	39184176	39321559
CRYZL1	33589341	33643926
CYYR1	26466209	26573284
HSPA13	14371115	14383484
IGSF5	39745407	39802096
ITSN1	33642400	33899861
LTN1	28928144	28992956
PLAC4	41175231	41185239
SON	33542618	33577481
USP16	29024629	29054488
DDX17	38483440	38507660
DERL3	23834503	23839128
MAPK1	21754500	21867680
TNRC6B	40044817	40335808
TUG1	30970677	30979395
