> aCTB	M
SRI	1.71529325
MAGEH1	-1.84767875
C12orf35	-1.18614725
MIPOL1	-1.416654625
GUCY1A3	-1.72376225
LEP	3.6149375
EBF1	-2.0184235
DLX3	1.550079375
DEFB109P1B	-1.25565425
DEFB109P1B	-1.25565425
SNRK	-0.92518575
SRGN	-2.52683825
SSBP2	-1.238357375
PAR5	-1.78186825
GIMAP4	-1.524369875
HYAL4	1.287842125
FAM162B	-2.29281475
LOC100506494	1.127467375
SLCO4A1	2.134657875
CMTM4	1.644097875
SLC17A8	1.985672
CAMK2D	-2.494612
KIAA0040	-1.538662875
LAMB4	2.07337875
GIMAP7	-1.461347
ITM2A	-1.551574375
SLC6A8	1.2083755
MS4A4A	-2.569687625
DOCK4	-1.576494125
SPOPL	0.829005375
BMPR2	0.84277475
UST	-1.2126195
CSPP1	0.939323875
PSD3	-1.000109125
SLC29A3	1.02464975
RFTN2	-1.180068625
NMNAT1	-1.051155375
KRT18P10	1.1651765
KRT18P54	1.018845125
LOC100128979	1.645173375
KL	-2.195749625
ARL5B	1.033192125
HHEX	-1.13612925
SUV39H2	0.76129525
ACSS3	-1.697968375
CNTNAP3	1.665354
FLT1	1.3194465
SFRP1	1.6475495
UGP2	0.806180625
RAPGEF5	-1.487931625
LPCAT1	1.51815325
C1orf54	-2.87024475
HCAR3	1.648883625
BHLHE40	1.524650125
INTS6	0.598922
KLF2	-0.77859225
C7orf60	1.156990125
PEAK1	-1.088424875
LRIG3	-1.377999875
TGM2	-1.098198
PLCB4	-1.371009875
CLDN7	0.86830125
BIRC7	1.4872655
KRT18P49	1.33952625
PXDC1	0.7878025
WEE1	1.35693
> iCTB	M
PEG3-AS1	-3.15205475
CLIC2	3.53352275
MIR1323	-5.29512275
AOX1	3.635962625
CDO1	-3.621422875
CGB8	-6.65544775
GALNTL2	3.38485075
TRGC2	3.612998825
CNR1	4.177109625
CD96	3.440303125
TRPC4	4.615572875
SULF1	3.268890625
PRSS12	-3.377183125
ME1	3.082817875
IL2RG	3.261233125
SYNPO2	3.161648125
PEG10	-4.527836
TRGV10	2.7851465
PEG3	-2.993020875
CNR1	3.129046375
CCL4L2	2.901855
LOC100506192	-6.072993
CYP19A1	-5.433372375
SULF2	3.618642625
IL15	3.635341625
GREB1	2.530095625
CGB	-4.83073625
HSD11B1	3.63269975
PTHLH	2.856829125
FAM184A	-3.418052625
GLDC	-2.39641275
ENTPD3	2.872934125
DOCK10	2.86261425
FLJ11292	-3.063522625
FPR3	3.633915375
GDF15	-2.269880375
PARM1	3.70579275
MARC1	-2.00862975
TMTC1	3.2274165
ERVFRD-1	-5.41598975
CCL4L2	2.005543625
APOO	2.356031125
DTNA	2.72134025
PLAC4	-4.931363625
CNR1	4.3359005
PAGE4	-3.810367125
SPOCK1	2.833376875
IFI44	3.73247875
CFI	3.038618125
C1QB	2.130552375
CCL23	1.940102
EMCN	2.10563375
FHDC1	-2.761684625
CCL4	4.224632125
PRDM1	2.825171625
NPR3	2.8328955
GZMK	3.57255425
PTPN22	3.3056675
ARMC9	1.908914875
CD52	2.75277425
APCDD1	2.016069375
SLC19A3	-3.262314375
NEBL	-2.215938625
C1R	2.031166625
CD3D	2.1368995
SIGLEC6	-3.4823835
SAMD9L	2.553416625
LOC100506966	2.635447375
HLA-DMB	1.852392375
SPTLC3	-3.394625
HCP5	2.3455145
SLC19A2	-2.7470375
KLRC4-KLRK1	3.698944875
TRDJ1	3.886236625
MAP3K5	3.43278375
ABCA8	3.709665
KLF9	2.473870875
TM6SF1	2.89298925
PTPN13	2.973930375
C1S	2.23038675
HLA-DMB	1.802751625
FERMT1	-1.835776
LSAMP	2.094161375
PPAP2A	3.24911275
SKAP1	1.807627125
IGFBP2	3.055328625
NBLA00301	2.986601375
DEPTOR	2.762642625
DDR2	1.9532245
PRUNE2	3.6412635
DSC3	-4.65848875
S100A3	2.38961175
DEPDC1B	-4.288113625
ATP6V1C2	-3.06539625
ERVW-1	-3.280409
SCARA5	3.053868625
MAOB	3.31119325
SMOX	1.491401375
DLK1	-3.701442625
PLAC4	-5.124839125
HLA-DMB	1.73305925
HAND2	2.292217875
HLA-DMB	1.8244315
HLA-DMB	1.8244315
LOC100505676	-3.148931875
PDGFD	3.24237875
FBLN5	2.16534075
CYP2J2	-3.13538875
HLA-A	2.156212125
NNMT	2.161952375
PTPRC	3.264745375
FOXO4	-2.743793
GPRIN3	2.110083625
RXFP1	5.07642875
ABCA6	3.086442375
CPXM1	4.042054625
PRF1	3.01720675
C3	4.773019125
NAV3	2.73613225
PRPS2	2.27605
CSF3R	-2.97225825
LOC729739	-3.348188125
LRRK2	2.894595875
NDP	3.847688125
KRT23	-2.586156
SCPEP1	2.6102755
QPCT	1.739981875
PRSS23	1.65602525
HLA-DPA1	2.96956075
HLA-DPA1	2.96956075
LOC100652973	2.208602625
NIPAL2	1.812893375
CD48	1.80394575
HLA-DPA1	3.1955175
HLA-DPA1	3.1955175
HLA-DPA1	3.1955175
FIGN	-1.635423
LOC100653305	2.772062625
KIAA1919	-1.4168595
SOD2	1.623968125
PGR	3.57172375
PILRA	3.0681735
MYL9	2.842904875
HLA-DPA1	2.88898
LRP2	-4.4489075
AXL	2.41265625
PLXNC1	1.267026125
DPYD	2.576678
F5	-5.294060125
KALRN	1.375791625
SLC22A11	-1.905215375
TMEM40	-1.771246625
SYT11	2.725131625
GPC3	-3.291239125
MFGE8	2.207165125
CCSAP	-1.68894275
LINC00470	-2.54131025
RASA1	-1.5155905
NCOA7	1.703618125
TRDJ3	2.83098
PARD6B	-1.68484725
EMP3	2.427252375
RORB	5.029233625
CD2	2.735478125
STAP1	3.489498625
HAMP	2.554895
ITGB4	-1.825234125
GBP5	2.245628625
TMEM45A	2.602628875
IGFBP4	3.04994875
TP63	-2.63167725
RHOBTB1	-3.0794155
SPINT1	-3.028711875
MS4A6A	2.437928875
TARP	3.702281988
CECR1	1.63192425
GAB1	-1.9109825
ZMYM6NB	1.39856225
MNDA	1.798060625
HTR2B	2.324646375
MBNL3	-1.842443125
FAM176C	2.48647425
MCTP1	2.26390125
HSD3B1	-4.319907
LCP2	2.13764025
STS	-3.076423
RGS22	2.593445125
HLA-DMB	1.632005875
FYN	1.99844075
PTPRCAP	2.771264375
HLA-DPA1	2.9785135
EXPH5	-3.11925175
LOC100130275	-1.7227835
SLC5A6	-1.691608625
CD74	2.833318375
RYBP	-2.504338125
MEF2A	1.501828
WT1	3.01518225
C8orf42	-1.60889925
> sCTB	M
NOTUM	-5.26790525
MEOX2	4.361663125
HTRA4	-4.911289
SLC26A7	3.362073
TAP1	-2.6741195
TAP1	-2.6741195
TAP1	-2.6741195
TAP1	-2.6741195
TAP1	-2.6741195
TAP1	-2.6741195
TAP1	-2.6741195
ISG15	-3.72318625
MT1F	-3.9785715
HN1	-2.99868875
HSPG2	-3.58855525
EPSTI1	-2.421157625
TAP1	-2.244889375
FN1	-2.63976175
PLA2G10	-4.016577375
RFPL4B	-3.2634665
FRAS1	2.76738225
HLA-G	-2.59390275
QSOX1	-3.0412045
C12orf75	-2.5898105
COX4I2	3.201897875
HLA-G	-2.485137375
HLA-G	-2.485137375
CCR1	-2.949173
HLA-G	-2.577564125
RFX6	2.18232525
MT1X	-4.40444
HLA-G	-2.563402875
HLA-G	-2.563402875
NTS	4.515215375
SCN7A	4.34545625
AGTR1	3.150178625
HLA-G	-2.44254525
ABCB1	3.507289625
SLC4A7	-3.053108
RAB8B	-2.088813375
SLC2A10	-1.75099175
DNAPTP3	-2.0137075
LOC730101	3.11352825
FSTL3	-4.612459
IGFBP1	-6.547057375
CMTM3	-1.65644875
ABP1	-4.32644625
LAMA4	-2.24760125
FRMD6	2.001821125
NOG	-3.069082125
DYSF	2.1101145
PRG2	-6.152163875
ISM1	2.157268375
ARHGAP42	2.346731125
ARHGAP17	1.754179125
APLNR	4.0261935
GALNT7	-2.660628875
MT1H	-5.571755375
TTPA	3.302958
PLAC8	-3.265280125
SLC27A2	4.61132475
LOC100128386	2.866685375
AFF2-IT1	3.269442125
EPHA3	2.595647125
KDELR3	-2.521246
GABRA3	1.726909625
EGFEM1P	2.89851575
MMP2	-3.206829625
GLIPR1	-3.4079135
TBX5	2.735325875
CITED2	-2.604691875
HCAR2	-4.291508625
ADAM19	-2.800105375
CPS1	4.07987625
MGAT4A	-2.21007575
SLC25A35	1.472363
ELF5	1.7521365
AREG	4.54600975
ADAMTS18	2.390676
PTPRS	-1.697168625
COLEC10	2.837575125
IL1R2	-3.983727625
CA8	1.901466875
GPR32	-3.199285625
HACE1	1.93895875
ADRBK2	-2.106036125
GALNT3	-2.74594925
ENDOU	2.83205925
SLC26A7	3.967156625
TMEM155	1.604980625
ACSS1	2.415650125
ERP27	-1.5377555
FUT9	1.745594875
AREG	4.5827075
PTGES	-2.760449875
SLC6A4	2.3506
PDCD1LG2	-4.244786625
PCDH11X	2.84293525
LIMA1	-1.730647125
LOC100134259	2.12663525
STARD4-AS1	1.51730675
MIR181A1	2.212805338
FAT2	-3.228232625
TCF7L2	-2.931509125
SLC15A3	-1.58758825
PARP1	1.30643075
TES	-1.4865395
NOS3	1.538822875
GRB14	1.82694475
PLOD1	-1.5886805
AFF2	2.53192925
HIGD1B	3.345774875
SOAT1	-2.2016685
FHOD3	-2.163884625
MXRA8	-2.484718125
SH3PXD2B	-2.250449
SH3BGRL2	1.903519875
LGALS3BP	-2.336253125
FSTL1	-1.224296625
SOX4	-2.09705325
FAM171B	1.842955375
CHN1	1.9696985
PLA2G2A	3.610393625
GCH1	-1.817092
APOL6	-1.83308025
CCK	1.871403625
DAPP1	-3.30822925
OAS1	-2.09006575
SMAGP	2.855150125
MCOLN3	1.90853375
TRIM14	-1.41943775
TUBB2A	-1.70044325
HUNK	-2.390899375
SEMA3C	-1.833456
SEMA3B	1.976604875
PP12613	1.6016215
HSPA4L	2.470558125
IQGAP2	1.850525875
MAP7D2	2.239410625
PNP	1.73621875
MT1G	-4.920144875
PARP9	-2.040269875
TRPV6	4.367358
IL2RB	-2.95098225
KANK1	2.013529
CAPN2	-1.179331125
SLC13A4	3.024718125
KCNK12	-1.65675675
TIMP3	-2.419522625
GBP2	-2.118423625
MYADM	-1.557419125
MTMR10	2.26662425
ADHFE1	1.75988025
MPP5	1.66246275
TNFSF10	-3.34234025
AQPEP	-2.3421055
HPGD	-1.82111375
CDC42SE2	-1.3147295
P2RY1	2.7581165
SNAI1	-2.60035075
C17orf85	1.544762875
CLRN1	2.346953375
RASGRF2	-3.641029875
SLC16A6	-3.05020825
COL12A1	-2.218078625
ISM2	-2.44391975
MMP12	-6.891417375
FLNB	-2.6378215
ADA	-1.396884625
UGDH	-2.120911875
HS6ST2	2.3460545
DEPDC7	-3.208365625
ARHGDIB	-2.341569625
NRIP1	-1.931089125
HSD17B1	2.772527625
LOC100507596	1.600998
SERPING1	-2.687158625
SNORD113-1	3.1635595
PART1	2.026841625
PARP4	-1.6979095
SLC18B1	1.388429875
RARRES3	-1.393895
KLF6	-1.640128875
ATP2B1	1.353098
AK3	1.291985875
ABCC2	1.368044625
IL13RA1	-1.481148125
MMP14	-1.570123375
REPS2	-2.92886775
DHRS7	-1.72259075
DGKD	1.2085585
TNFAIP2	-1.706118375
LOC100131825	1.952233375
MPP1	2.0423895
UBL3	-2.1022095
PRTG	1.431868875
TGFB2	-2.7470615
GCNT1	-1.88467375
CAST	1.20762275
