hs1	117200000	120400000	SLC16A1
hs5	67400000	69100000	PIK3R1
hs19	16100000	19900000	AKAP8L
hs11	31000000	36400000	CD44
hs11	97400000	102300000	IL18
hs20	28100000	30400000	ITCH
hs6	105000000	114200000	ATG5
hs13	94400000	97500000	DNAJC3
hs4	138500000	140600000	NAA15
hs5	131200000	136900000	CTNNA1
hs14	57600000	61600000	EIF2S1
hs7	107800000	115000000	ZNF800
hs10	38000000	39800000	EPC1
hs19	16100000	19900000	TPM4
hs6	130000000	130900000	TNFAIP3
hs17	39800000	40200000	CDC27
hs5	59600000	63600000	TRIM23
hs17	6500000	10800000	YWHAE
hs3	52300000	54400000	C3orf23
hs21	30200000	34400000	USP16
hs1	91500000	94300000	HS2ST1
hs1	69300000	84400000	DBT
hs21	15000000	22600000	GCFC1
hs2	29800000	31800000	SLC8A1
hs5	93000000	98900000	TTC37
hs5	48800000	51400000	MIER3
hs14	24100000	32900000	CFL2
hs13	109600000	114364328	TMCO3
hs12	71100000	75300000	TMTC2
hs10	104000000	110100000	C10orf118
hs1	115500000	117200000	CTTNBP2NL
hsX	117400000	121800000	IL13RA1
hs11	63600000	66100000	EHBP1L1
hs18	18500000	21500000	SS18
hs2	182100000	188500000	ORMDL1
hs12	46000000	48700000	LIMA1
hs6	75200000	83200000	SLC17A5
hs4	154600000	160800000	RAPGEF2
hs4	100100000	106700000	TET2
hs11	63600000	66100000	MALAT1
hs13	94400000	97500000	MBNL2
hs16	14700000	16700000	RSL1D1
hs1	223900000	224400000	ARID4B
hs17	25100000	27400000	WSB1
hs21	12000000	13000000	HSPA13
hs7	4500000	7200000	RBAK
hs3	98600000	100300000	PCNP
hs2	196600000	202500000	BMPR2
hs6	4200000	7100000	MUTED
hs2	168900000	177100000	DCAF17
hs14	37400000	43000000	SOS2
hs7	27900000	28800000	CREB5
hs10	117300000	119900000	PDZD8
hs3	183000000	184800000	KLHL24
hs21	10900000	12000000	BAGE2
hs2	61000000	63900000	USP34
hs12	108600000	111300000	PTPN11
hs2	63900000	68400000	ACTR2
hs1	69300000	84400000	FAM73A
hs7	37100000	43300000	HERPUD2
hs1	156600000	159100000	UHMK1
hs3	26300000	30800000	CAPN7
hs5	38400000	42500000	PRLR
hs14	67400000	69800000	ALDH6A1
hs1	69300000	84400000	TM2D1
hs17	33500000	39800000	FBXL20
hs16	74100000	79200000	RFWD3
hs8	43200000	45200000	PLEKHA2
hs16	66600000	70800000	WWP2
hs3	161000000	167900000	FNDC3B
hs10	38000000	39800000	KIAA1462
hs21	15000000	22600000	CRYZL1
hs5	38400000	42500000	ZFR
hs7	107800000	115000000	MET
hs7	27900000	28800000	GPNMB
hs12	46000000	48700000	EIF4B
hs11	63600000	66100000	MARK2
hs11	77400000	85900000	PICALM
hs9	99800000	105400000	ABCA1
hs17	52100000	59500000	GDPD1
hsX	58100000	61000000	ELK1
hs6	40500000	46200000	CDC5L
hs6	114200000	117900000	HINT3
hs6	13400000	15200000	RANBP9
hs5	131200000	136900000	SMAD5
hs21	30200000	34400000	BRWD1
hs17	39800000	40200000	PTRF
hs14	17200000	18200000	MAP4K5
hs14	67400000	69800000	SEL1L
hs17	52100000	59500000	MSI2
hs11	110600000	112700000	RDX
hs12	95800000	101200000	SCYL2
hs14	67400000	69800000	SYNJ2BP
hs7	98400000	104200000	ZNF655
hs7	107800000	115000000	MDFIC
hs14	17200000	18200000	SUPT16H
hs3	122200000	124100000	SLCO2A1
hs15	44500000	49200000	FAM63B
hs9	99800000	105400000	UGCG
hs18	27500000	35100000	SLC39A6
hs1	165500000	167200000	TOR1AIP1
hs8	12800000	19200000	MTUS1
hs1	243500000	248956422	AKT3
hs3	149200000	152300000	MBNL1
hs21	30200000	34400000	TTC3
hs21	30200000	34400000	LTN1
hs7	58100000	60100000	IGF2BP3
hs20	28100000	30400000	ITCH
hs21	30200000	34400000	ITSN1
hs16	66600000	70800000	NFAT5
hs22	37200000	40600000	TNRC6B
hs19	31900000	35100000	AKT1S1
hs12	71100000	75300000	TMTC3
hs20	28100000	30400000	LOC647979
hs21	30200000	34400000	ABCG1
hs16	24200000	28500000	SMG1
hs5	131200000	136900000	C5orf24
hs8	29000000	36700000	PLAT
hs21	15000000	22600000	ADAMTS1
hs13	39500000	44600000	CAB39L
hs14	89300000	91400000	PAPOLA
hs7	138500000	143400000	CASP2
hs7	4500000	7200000	RAC1
hs17	72900000	76800000	P4HB
hs2	168900000	177100000	SSFA2
